alpha,beta,airspeed,CL,CD,CY,Cl,Cm,Cn,CLa,CDa,CYa,Cla,Cma,Cna,CLb,CDb,CYb,Clb,Cmb,Cnb,CLp,CDp,CYp,Clp,Cmp,Cnp,CLq,CDq,CYq,Clq,Cmq,Cnq,CLr,CDr,CYr,Clr,Cmr,Cnr
10.0,0.0,19.94857498845234,0.9943657743898805,0.08598828462388323,0.0,-0.0,-0.046392736355690765,-0.0,2.477594829227374,0.476665198823164,0.0,-0.0,-0.08199046686294088,-0.0,0.0006097413471063434,8.331448880861435e-05,0.21577881664926396,-0.033547447985810844,-6.71330739344197e-05,-0.017000570662206088,7.320244969644752e-06,1.0002314432145517e-06,-0.08125120452327775,-0.4110583402851055,-1.564751895371481e-06,-0.1653116352288168,0.4852630725138509,-0.005477427070859199,0.0,-0.0,-0.22787659977304006,-0.0,-2.4257773088276482e-05,-3.3145594834213134e-06,0.02996122237390547,0.15163774535077734,8.702069154636374e-06,0.005594656195800102
15.0,0.0,19.94857498845234,1.1391236844683057,0.12919304070637355,0.0,-0.0,-0.05367857715282474,-0.0,0.5265494887947682,0.5092175952235154,0.0,-0.0,-0.07211083828295649,-0.0,0.0007128828981456147,0.00011158807826081467,0.3599232443699403,-0.008037470637041893,-7.594394504894855e-05,-0.012982437994258187,8.819397997604674e-06,1.3805067796196384e-06,-0.033215081134403635,-0.08860252063175111,-1.826874547927795e-06,-0.09368312692634416,-0.030998873674930094,-0.05538330318701265,0.0,-0.0,0.010732644271532775,-0.0,-3.0434015776452292e-05,-4.763858612805306e-06,0.04307063543118819,0.24783020977729633,1.02987101565336e-05,0.03705819784750842
20.0,0.0,19.94857498845234,0.9903369647003107,0.19650073492942163,0.0,-0.0,-0.1034034014803131,-0.0,-3.46945925404146,1.4525586393904717,0.0,-0.0,-1.449510560004359,-0.0,0.0006009439600311472,8.177973227540815e-05,0.4277579893075396,0.04853916731580497,-9.103036316974468e-05,0.027836787129543784,7.0771710913570405e-06,9.631000486144503e-07,0.06473640710491502,0.20933404124080388,-1.7101466624412542e-06,0.23979358491851827,-0.395867720263799,0.14799896938461787,0.0,-0.0,0.12488175903671407,-0.0,-2.2805473615417354e-05,-3.1034932551621558e-06,0.07258225158175248,0.303055041084217,8.528853049771462e-06,0.125424151634984
25.0,0.0,19.94857498845234,0.8249157597292505,0.39108966387463906,0.0,-0.0,-0.2458080969840187,-0.0,0.13061880818621424,2.3897189981061886,0.0,-0.0,-1.2677819955814158,-0.0,0.0005014235801936445,5.683856104339604e-05,0.42964959412319553,0.025732462363627546,-0.00015378603802899724,0.00803015786646825,6.319788197303146e-06,7.163756979626918e-07,-0.03875329606543078,-0.2410710923383712,-2.347927166836478e-06,0.06434679165466879,0.21798918212387847,0.043618462534254415,0.0,-0.0,-0.20326704521020067,-0.0,-2.2339737405724808e-05,-2.532307171788548e-06,0.02734758023377041,0.12687478922443143,1.0109299211962682e-05,0.042657738398697416
30.0,0.0,19.94857498845234,0.8864937408862069,0.5830046957801042,0.0,-0.0,-0.3219851272380578,-0.0,0.9367090621522943,2.061762399288982,0.0,-0.0,-0.6398517295895825,-0.0,0.0005286747602488275,6.440105338013687e-05,0.5615573863592976,0.03585955506861513,-0.0001764617729878653,-0.000570132487929298,6.670187905311394e-06,8.125357207321619e-07,-0.06031924596054615,-0.3234629986547536,-2.6642227166207405e-06,0.030355690650987855,0.18797561297953078,0.17031137154604534,0.0,-0.0,-0.19656220146220002,-0.0,-2.3606583392265368e-05,-2.8756599548108185e-06,0.020479292337314447,0.10459846998315592,1.136204541081485e-05,0.01722995712886013
35.0,0.0,19.94857498845234,0.9624346811331488,0.7621840249726605,0.0,-0.0,-0.3726052988979998,-0.0,0.7560922016730587,2.0796327175510334,0.0,-0.0,-0.5474054888809476,-0.0,0.0005544729366035687,7.332977258308986e-05,0.7351819049596291,0.048503933223140686,-0.00017983349184262697,-0.004317565537984548,7.012979891596684e-06,9.27475782187456e-07,-0.06887074100634312,-0.35505435360813387,-2.7227897333374007e-06,0.0010289035322576241,0.22744080381748089,0.16956866199061602,0.0,-0.0,-0.19895209878568443,-0.0,-2.4897027468492252e-05,-3.292664513875457e-06,0.019901050234982638,0.10850522156530346,1.1640405088438452e-05,-0.0018739141522814825
40.0,0.0,19.94857498845234,1.0151641784604464,0.9470113165533663,0.0,-0.0,-0.41889727273817784,-0.0,0.4436610293937277,2.1483647015505873,0.0,-0.0,-0.5139619515372992,-0.0,0.0005598615979093136,7.809903799251396e-05,0.9271196848812197,0.06299579456310407,-0.00017358887906251028,-0.005878245221186885,7.106506847884916e-06,9.913366988828515e-07,-0.07507079827479535,-0.38229017566339807,-2.6378436225071453e-06,-0.0028243228114565155,0.2366631555272135,0.20033185884139898,0.0,-0.0,-0.21364502683104236,-0.0,-2.534202551569596e-05,-3.5351376499946762e-06,0.019744578092512538,0.11238298426484632,1.1312908724609447e-05,-0.0043090090031482125
45.0,0.0,19.94857498845234,1.0388255888477629,1.1350723819143629,0.0,-0.0,-0.4621232405102091,-0.0,0.09432945167259091,2.1482924017718323,0.0,-0.0,-0.47510906468770775,-0.0,0.0005427938494109787,7.748297317136157e-05,1.130878488520823,0.08028876686708326,-0.00015893139079786912,-0.0075171910218575395,6.913141001568606e-06,9.868400670608828e-07,-0.08117285561656735,-0.40889126492229794,-2.4247764236813467e-06,-0.0043438810151899395,0.23977344461199443,0.23578709564287562,0.0,-0.0,-0.22931852493001037,-0.0,-2.4755924758265965e-05,-3.5338695454241633e-06,0.018867130827012843,0.1135008272370524,1.0434868778572698e-05,-0.004920941717299197
50.0,0.0,19.94857498845234,1.0311014831125547,1.3196187252435418,0.0,-0.0,-0.5015275443060735,-0.0,-0.2731412664137747,2.068197603752512,0.0,-0.0,-0.4263088750935222,-0.0,0.0005046050587460298,7.149599786979891e-05,1.341340185709362,0.1015018742176308,-0.00013756255468052754,-0.009585461161227942,6.447772670145661e-06,9.135658335299545e-07,-0.08730864057176184,-0.4339686280754879,-2.1087492626780715e-06,-0.005779934558114669,0.23810726409836191,0.2709138439099632,0.0,-0.0,-0.24433931317450064,-0.0,-2.3182650124541027e-05,-3.284681108907387e-06,0.017023813777440704,0.11213549949828597,9.11160919019571e-06,-0.005418030946121736
55.0,0.0,19.94857498845234,0.9910477160513103,1.4939134277374189,0.0,-0.0,-0.5362498644507524,-0.0,-0.6442867574196235,1.9151374784035258,0.0,-0.0,-0.36795507989163556,-0.0,0.00044836706684644003,6.106002685419713e-05,1.55366524375101,0.12824813031324986,-0.00011188232471223321,-0.01222853806038711,5.748431866497133e-06,7.82839396727694e-07,-0.093474057795103,-0.4572045144827151,-1.7255065948046614e-06,-0.006923069251405651,0.2310939115252724,0.3046854501248676,0.0,-0.0,-0.2582932895266591,-0.0,-2.075347430670531e-05,-2.826272918304457e-06,0.013980570642762398,0.10811125261136544,7.49375026297937e-06,-0.005520084187760811
60.0,0.0,19.94857498845234,0.9189326603197678,1.6521162168819994,0.0,-0.0,-0.5654959677956652,-0.0,-1.0058377872768087,1.701709475752891,0.0,-0.0,-0.30090510046134666,-0.0,0.00037852854641871577,4.779814525672039e-05,1.763758308567356,0.16322300892519323,-8.467060308518708e-05,-0.01564457393593158,4.87122520728804e-06,6.151069245445221e-07,-0.09969025666603823,-0.47858901189769865,-1.3164780019727423e-06,-0.007386010699865989,0.21815275369471468,0.3367063841303215,0.0,-0.0,-0.2709611204647667,-0.0,-1.7666775512139295e-05,-2.2308465507771248e-06,0.009396519588694661,0.10083522350915693,5.75598642297105e-06,-0.004609061391417466
65.0,0.0,19.94857498845234,0.8161256055558712,1.7895643962936576,0.0,-0.0,-0.5885025157974728,-0.0,-1.3457547470758089,1.441688181989978,0.0,-0.0,-0.22455284813469595,-0.0,0.00030053531771550966,3.370398401384706e-05,1.9691358114260071,0.21137765223883068,-5.869602057630014e-05,-0.020241313226586687,3.885468286887893e-06,4.3574166932005307e-07,-0.1060703467847214,-0.49829341158264134,-9.23011867592716e-07,-0.006915430506441823,0.19882300065866676,0.3667134046735351,0.0,-0.0,-0.2820843548184728,-0.0,-1.4170476463759146e-05,-1.5891693390039586e-06,0.0026460932482167674,0.08922504748656374,4.07301105090946e-06,-0.0020463173208295354
70.0,0.0,19.94857498845234,0.6850176758467085,1.9027345995133313,0.0,-0.0,-0.6042184717557854,-0.0,-1.65258865121589,1.1470614851057204,0.0,-0.0,-0.13128725232253965,-0.0,0.00022041825197369232,2.0748086609795445e-05,2.1708864633467564,0.28273545920392823,-3.632355536378247e-05,-0.02702350600401722,2.868354663297313e-06,2.699997411685441e-07,-0.1130009027879383,-0.5167147632955006,-5.806697650983674e-07,-0.005489285165089624,0.1728945213348882,0.394316544079378,0.0,-0.0,-0.29101575875628255,-0.0,-1.0542601294299133e-05,-9.923806344888948e-07,-0.0078085896828420705,0.07125020549131299,2.595986215732152e-06,0.0026243430481802947
75.0,0.0,19.94857498845234,0.5289243115983682,1.9890265273473937,0.0,-0.0,-0.6098834728137323,-0.0,-1.917719653354683,0.8269951719468999,0.0,-0.0,0.0190086942820554,-0.0,0.00014434509259377974,1.049117842747322e-05,2.3789515651042366,0.3999606537117756,-1.9174473516691972e-05,-0.03876700498669234,1.899338308454009e-06,1.380462385813863e-07,-0.12163657569289253,-0.534944464804117,-3.14339440466229e-07,-0.003203007487543114,0.14038767997415863,0.41892214762110336,0.0,-0.0,-0.2955495604692849,-0.0,-7.071559952785851e-06,-5.139696535004505e-07,-0.026683485927390928,0.04180159868505989,1.4326076043030494e-06,0.009913704567875914
80.0,0.0,19.94857498845234,0.3510421089162019,2.046535911460493,0.0,-0.0,-0.5927987247610332,-0.0,-2.1635182432105813,0.48843893710321523,0.0,-0.0,0.4863645130408978,-0.0,7.792755044840761e-05,3.7590574256339035e-06,2.624364811133438,0.619315531723817,-7.876067724320401e-06,-0.0641626755995505,1.052435471521822e-06,5.0767223540934936e-08,-0.13535857940274892,-0.5563936866733592,-1.3464560748323603e-07,0.00028886922550254413,0.1001367231538028,0.43986072128091896,0.0,-0.0,-0.28470024874354294,-0.0,-4.03348896225597e-06,-1.9456683223804992e-07,-0.07081972589550595,-0.016301585249429658,6.324907938991193e-07,0.023097842762629106
85.0,0.0,19.94857498845234,0.14400541296460662,2.0739667586688135,0.0,-0.0,-0.4602558755578825,-0.0,-2.6900060494101927,0.14117589719296164,0.0,-0.0,3.350689078140619,-0.0,2.3970408758382844e-05,4.743326036387083e-07,3.219805544232578,1.5364918693438494,-1.8910617789943773e-06,-0.14268606096384312,3.7522774417005656e-07,7.425102947992546e-09,-0.15780894602648138,-0.5830305345283441,-3.5678920022909434e-08,0.007864300959227362,0.03551799451815999,0.4569581370637801,0.0,-0.0,-0.16747854548616187,-0.0,-1.650276579790931e-06,-3.265609671619486e-08,-0.1340997921399664,-0.0680437726223115,1.7860254406269424e-07,0.06610356918851273
90.0,0.0,19.94857498845234,-0.05324342236149674,2.0718817838421657,0.0,-0.0,-0.46011177065938424,-0.0,-1.6831446110895834,-0.20207767757440048,0.0,-0.0,-2.9162558905453664,-0.0,-5.47759379461532e-06,4.0076012773900796e-08,1.7255500087111042,-0.7327353064714893,-7.330465144637575e-08,-0.010726470634111042,-3.923466209430319e-08,2.8705465907615727e-10,-0.05957825412538854,-0.47844420219035166,1.6857331709772045e-11,0.007432063983002536,0.03590991812858502,0.4707165395273075,0.0,-0.0,-0.4133628684219005,-0.0,7.866697494988584e-09,-5.7555540100015083e-11,-0.15244260384117705,-0.1629144889629337,-4.127950016673358e-09,-0.03372880336877596
